PMID	title	abstract
16638632	Analysis of degradation of bacterial cell division protein FtsZ by the ATP-dependent zinc-metalloprotease FtsH in vitro.	The identity of protease(s), which would degrade bacterial cell division protein FtsZ in vivo, remains unknown. However, we had earlier demonstrated that Escherichia coli metalloprotease FtsH degrades E. coli cell division protein FtsZ in an ATP- and Zn(2+)-dependent manner in vitro. In this study, we examined FtsH protease-mediated degradation of FtsZ in vitro in detail using seven different deletion mutants of FtsZ as the substrates, which lack different extents of specific regions at the N- or C-terminus. FtsH protease assay in vitro on these mutants revealed that FtsH could degrade all the seven deletion mutants irrespective of the deletions or the extent of deletions at the N- or C-terminus. These observations indicated that neither the N-terminus nor the C-terminus was required for the degradation of FtsZ, like already known in the case of the FtsH substrate sigma(32) protein. The recombinant clones expressing full-length FtsZ protein and FtsZ deletion mutant proteins would be useful in investigating the possibility of FtsZ as a potential in vivo substrate for FtsH in ftsH-null cells carrying ftsH suppressor function and ectopically expressed FtsH protease.
16735107	Screening of free-living rhizospheric bacteria for their multiple plant growth promoting activities.	Plant growth promoting rhizobacteria (PGPR) are known to influence plant growth by various direct or indirect mechanisms. In search of efficient PGPR strains with multiple activities, a total of 72 bacterial isolates belonging to Azotobacter, fluorescent Pseudomonas, Mesorhizobium and Bacillus were isolated from different rhizospheric soil and plant root nodules in the vicinity of Aligarh. These test isolates were biochemically characterized. These isolates were screened in vitro for their plant growth promoting traits like production of indoleacetic acid (IAA), ammonia (NH(3)), hydrogen cyanide (HCN), siderophore, phosphate solubilization and antifungal activity. More than 80% of the isolates of Azotobacter, fluorescent Pseudomonas and Mesorhizobium ciceri produced IAA, whereas only 20% of Bacillus isolates was IAA producer. Solubilization of phosphate was commonly detected in the isolates of Bacillus (80%) followed by Azotobacter (74.47%), Pseudomonas (55.56%) and Mesorhizobium (16.67%). All test isolates could produce ammonia but none of the isolates hydrolyzed chitin. Siderophore production and antifungal activity of these isolates except Mesorhizobium were exhibited by 10-12.77% isolates. HCN production was more common trait of Pseudomonas (88.89%) and Bacillus (50%). On the basis of multiple plant growth promoting activities, eleven bacterial isolates (seven Azotobacter, three Pseudomonas and one Bacillus) were evaluated for their quantitative IAA production, and broad-spectrum (active against three test fungi) antifungal activity. Almost at all concentration of tryptophan (50-500 microg/ml), IAA production was highest in the Pseudomonas followed by Azotobacter and Bacillus isolates. Azotobacter isolates (AZT(3), AZT(13), AZT(23)), Pseudomonas (Ps(5)) and Bacillus (B(1)) showed broad-spectrum antifungal activity on Muller-Hinton medium against Aspergillus, one or more species of Fusarium and Rhizoctonia bataticola. Further evaluation of the isolates exhibiting multiple plant growth promoting (PGP) traits on soil-plant system is needed to uncover their efficacy as effective PGPR.
16838294	A conserved role for the nodal signaling pathway in the establishment of dorso-ventral and left-right axes in deuterostomes.	Nodal factors play crucial roles during embryogenesis of chordates. They have been implicated in a number of developmental processes, including mesoderm and endoderm formation and patterning of the embryo along the anterior-posterior and left-right axes. We have analyzed the function of the Nodal signaling pathway during the embryogenesis of the sea urchin, a non-chordate organism. We found that Nodal signaling plays a central role in axis specification in the sea urchin, but surprisingly, its first main role appears to be in ectoderm patterning and not in specification of the endoderm and mesoderm germ layers as in vertebrates. Starting at the early blastula stage, sea urchin nodal is expressed in the presumptive oral ectoderm where it controls the formation of the oral-aboral axis. A second conserved role for nodal signaling during vertebrate evolution is its involvement in the establishment of left-right asymmetries. Sea urchin larvae exhibit profound left-right asymmetry with the formation of the adult rudiment occurring only on the left side. We found that a nodal/lefty/pitx2 gene cassette regulates left-right asymmetry in the sea urchin but that intriguingly, the expression of these genes is reversed compared to vertebrates. We have shown that Nodal signals emitted from the right ectoderm of the larva regulate the asymmetrical morphogenesis of the coelomic pouches by inhibiting rudiment formation on the right side of the larva. This result shows that the mechanisms responsible for patterning the left-right axis are conserved in echinoderms and that this role for nodal is conserved among the deuterostomes. We will discuss the implications regarding the reference axes of the sea urchin and the ancestral function of the nodal gene in the last section of this review.
16891103	A type-1 metacaspase from Acanthamoeba castellanii.	The complete sequence of a type-1 metacaspase from Acanthamoeba castellanii is reported comprising 478 amino acids. The metacaspase was recovered from an expression library using sera specific for membrane components implicated in stimulating encystation. A central domain of 155 amino acid residues contains the Cys/His catalytic dyad and is the most conserved region containing at least 30 amino acid identities in all metacaspases. The Acanthamoeba castellanii metacaspase has the most proline-rich N-terminus so far reported in type-1 metacaspases with over 40 prolines in the first 150 residues. Ala-Pro-Pro is present 11 times. Phylogenies constructed using only the conserved proteolytic domains or the complete sequences show identical branching patterns, differing only in the rates of change.
17006532	Quantitative and evolutionary biology of alternative splicing: how changing the mix of alternative transcripts affects phenotypic plasticity and reaction norms.	Alternative splicing (AS) of pre-messenger RNA is a common phenomenon that creates different transcripts from a single gene, and these alternative transcripts affect phenotypes. The majority of AS research has examined tissue and developmental specificity of expression of particular AS transcripts, how this specificity affects cell function, and how aberrant AS is related to disease. Few studies have examined quantitative between-individual variation in AS within a cell or tissue type, or in relation to phenotypes, but the results are compelling: quantitative variation in AS affects plastic traits such as stress, anxiety, fear, egg production, muscle performance, energetics and plant growth. Genomic analyses of AS are also at a nascent stage, but have revealed a number of significant evolutionary patterns. Growing knowledge of upstream genes and kinases that regulate AS provides the as-yet little explored potential to examine how these genes and pathways respond to environmental and genotype variables. Research in this area can provide glimpses of a labyrinth of genetic architectures that have rarely been considered in evolutionary and organismal biology, or in quantitative genetics. The scarcity of contribution to knowledge about AS from these fields is illustrated by the fact that heritability of quantitative variation in AS has not yet been determined for any gene in any organism. New research tactics that incorporate quantitative analyses of AS will allow organismal and evolutionary biologists to attain a fuller mechanistic understanding of many of the traits they study, and may lead to more rapid discovery of functionally important polymorphisms.
17055509	Development and validation of the Chinese version of the Diabetes Management Self-efficacy Scale.	OBJECTIVE: The purpose of this study was to translate the Diabetes Management Self-Efficacy Scale (DMSES) into Chinese and test the validity and reliability of the instrument within a Taiwanese population. RESEARCH DESIGN AND METHODS: A two-stage design was used for this study. Stage I consisted of a multi-stepped process of forward and backward translation, using focus groups and consensus meetings to translate the 20-item Australia/English version DMSES to Chinese and test content validity. Stage II established the psychometric properties of the Chinese version DMSES (C-DMSES) by examining the criterion, convergent and construct validity, internal consistency and stability testing. The sample for Stage II comprised 230 patients with type 2 diabetes aged 30 years or more from a diabetes outpatient clinic in Taiwan. RESULTS: Three items were modified to better reflect Chinese practice. The C-DMSES obtained a total average CVI score of .86. The convergent validity of the C-DMSES correlated well with the validated measure of the General Self-Efficacy Scale in measuring self-efficacy (r=.55; p<.01). Criterion-related validity showed that the C-DMSES was a significant predictor of the Summary of Diabetes Self-Care Activities scores (Beta=.58; t=10.75, p<.01). Factor analysis supported the C-DMSES being composed of four subscales. Good internal consistency (Cronbach's alpha=.77 to .93) and test-retest reliability (Pearson correlation coefficient r=.86, p<.01) were found. CONCLUSIONS: The C-DMSES is a brief and psychometrically sound measure for evaluation of self-efficacy towards management of diabetes by persons with type 2 diabetes in Chinese populations.
17070090	The initial effects of a Mulligan's mobilization with movement technique on range of movement and pressure pain threshold in pain-limited shoulders.	There is little known about the specific manual therapy techniques used to treat painfully limited shoulders and their effects on range of movement (ROM) and pressure pain threshold (PPT). The objective of this study was to investigate the initial effects of a Mulligan's mobilization with movement (MWM) technique on shoulder ROM in the plane of the scapula and PPT in participants with anterior shoulder pain. A repeated measures, double-blind randomized-controlled trial with a crossover design was conducted with 24 subjects (11 males and 13 females). ROM and PPT were measured before and after the application of MWM, sham and control conditions. Significant and clinically meaningful improvements in both ROM (15.3%, F (2,46)=16.31 P=0.00) and PPT (20.2%, F(2,46)=3.44, P=0.04) occurred immediately after post treatment. The results indicate that this specific manual therapy treatment has an immediate positive effect on both ROM and pain in subjects with painful limitation of shoulder movement. Further study is needed to evaluate the duration of such effects and the mechanism by which this occurs.
17089077	Medical school application interview score has limited predictive validity for performance on a fourth year clinical practice examination.	BACKGROUND AND PURPOSE: : Data supporting the predictive validity of the medical school admission interview are mixed. This study tested the hypothesis that the admission interview is predictive of interpersonal interactions between medical students and standardized patients. METHOD: : We determined correlations between admission interview scores and performance on a senior-year Clinical Practice Examination piloting US National Board of Medical Examiners stations. We also completed regression analyses controlling for undergraduate academic performance, gender and ethnicity. Outcome measures included an Interpersonal Skills score and a separate Overall Checklist performance score, completed by standardized patients. RESULTS: : The applicant interview had limited but statistically significant correlation with the Interpersonal Skills (r = 0.15; p < 0.05) score. The applicant interview had a correlation of 0.13 with the Overall Checklist score (p = .056). In linear regression models, the applicant interview had limited but statistically significant correlations with the Interpersonal Skills score and the Overall Checklist score. CONCLUSION: : As practiced at this medical school, the admission interview has limited predictive validity for future interactions with standardized patients. More comprehensive assessment of interpersonal skills during the medical school selection process will be needed in order to better select matriculants with desirable interpersonal skills.
17098331	Levodopa increases memory encoding and dopamine release in the striatum in the elderly.	Normal aging is associated with a decrease in dopaminergic function and a reduced ability to form new motor memories with training. This study examined the link between both phenomena. We hypothesized that levodopa would (a) ameliorate aging-dependent deficits in motor memory formation, and (b) increase dopamine availability at the dopamine type 2-like (D2) receptor during training in task-relevant brain structures. The effects of training plus levodopa (100mg, plus 25mg carbidopa) on motor memory formation and striatal dopamine availability were measured with [(11)C]raclopride (RAC) positron emission tomography (PET). We found that levodopa did not alter RAC-binding potential at rest but it enhanced training effects on motor memory formation as well as dopamine release in the dorsal caudate nucleus. Motor memory formation during training correlated with the increase of dopamine release in the caudate nucleus. These results demonstrate that levodopa may ameliorate dopamine deficiencies in the elderly by replenishing dopaminergic presynaptic stores, actively engaged in phasic dopamine release during motor training.
17115153	Evaluation of the utility of the Ponseti method of correction of clubfoot deformity in a developing nation.	Clubfoot is the commonest congenital deformity in babies. More than 100,000 babies are born worldwide each year with congenital clubfoot. Around 80% of the cases occur in developing nations. We treated 154 feet [mean Pirani score (total) 5.57] in 96 children (78 males, 18 females) by the Ponseti method from January 2003 to December 2005. A prospective follow-up for a mean duration of 19.5 months (range 6-32 months) was undertaken. After six months of treatment the Pirani score was reduced to zero for all patients. The results show that corrective surgery, sometimes multiple, can be avoided in most cases which are usually associated with the development of a stiff, painful foot. Low socio-economic status and illiteracy prevailing in developing nations increases the prevalence of neglected clubfoot that is still harder to correct. Integration into various programs and proper use of available resources can decrease neglected clubfoot and improve chances of successful and timely correction of deformity. Bracing constitutes an important part of treatment and proper motivation and education of the parents mitigates the chances of losing correction. The Ponseti method of correcting clubfoot is especially important in developing countries, where operative facilities are not available in the remote areas and well-trained physicians and personnel can manage the cases effectively with cast treatment only.
